State ,Population,Area (sqm),State Code
Alabama,"4,779,736","52,419.02",AL
Alaska,"710,231","663,267.26",AK
Arizona,"6,392,017","113,998.30",AZ
Arkansas,"2,915,918","53,178.62",AR
California,"37,253,956","163,695.57",CA
Colorado,"5,029,196","104,093.57",CO
Connecticut,"3,574,097","5,543.33",CT
Delaware,"897,934","2,489.27",DE
Florida,"18,801,310","65,754.59",FL
Georgia,"9,687,653","59,424.77",GA
Hawaii,"1,360,301","10,930.98",HI
Idaho,"1,567,582","83,570.08",ID
Illinois,"12,830,632","57,914.38",IL
Indiana,"6,483,802","36,417.73",IN
Iowa,"3,046,355","56,271.55",IA
Kansas,"2,853,118","82,276.84",KS
Kentucky,"4,339,367","40,409.02",KY
Louisiana,"4,533,372","51,839.70",LA
Maine,"1,328,361","35,384.65",ME
Maryland,"5,773,552","12,406.68",MD
Massachusetts,"6,547,629","10,554.57",MA
Michigan,"9,883,640","96,716.11",MI
Minnesota,"5,303,925","86,938.87",MN
Mississippi,"2,967,297","48,430.19",MS
Missouri,"5,988,927","69,704.31",MO
Montana,"989,415","147,042.40",MT
Nebraska,"1,826,341","77,353.73",NE
Nevada,"2,700,551","110,560.71",NV
New Hampshire,"1,316,470","9,349.94",NH
New Jersey,"8,791,894","8,721.30",NJ
New Mexico,"2,059,179","121,589.48",NM
New York,"19,378,102","54,556.00",NY
North Carolina,"9,535,483","53,818.51",NC
North Dakota,"672,591","70,699.79",ND
Ohio,"11,536,504","44,824.90",OH
Oklahoma,"3,751,351","69,898.19",OK
Oregon,"3,831,074","98,380.64",OR
Pennsylvania,"12,702,379","46,055.24",PA
Rhode Island,"1,052,567","1,545.05",RI
South Carolina,"4,625,364","32,020.20",SC
South Dakota,"814,180","77,116.49",SD
Tennessee,"6,346,105","42,143.27",TN
Texas,"25,145,561","268,580.82",TX
Utah,"2,763,885","84,898.83",UT
Vermont,"625,741","9,614.26",VT
Virginia,"8,001,024","42,774.20",VA
Washington,"6,724,540","71,299.64",WA
"Washington, D. C.","601,723",68.34,WV
West Virginia,"1,852,994","24,229.76",WI
Wisconsin,"5,686,986","65,497.82",WY
Wyoming,"563,626","97,813.56",
